time,open,high,low,close,volume
2023-08-23 18:15:00,1872.443,1872.443,1871.646,1871.646,0.0
2023-08-23 18:20:00,1871.639,1871.639,1871.145,1871.325,0.0
2023-08-23 18:25:00,1871.358,1871.815,1871.358,1871.726,0.0
2023-08-23 18:30:00,1871.725,1871.74,1871.237,1871.268,0.0
2023-08-23 18:35:00,1871.267,1871.409,1870.797,1870.879,0.0
2023-08-23 18:40:00,1870.875,1870.952,1870.83,1870.923,0.0
2023-08-23 18:45:00,1870.918,1871.016,1870.778,1871.003,0.0
2023-08-23 18:50:00,1871.005,1871.219,1871.005,1871.125,0.0
2023-08-23 18:55:00,1871.135,1871.357,1871.135,1871.35,0.0
2023-08-23 19:00:00,1871.366,1871.806,1870.978,1871.806,0.0
2023-08-23 19:05:00,1871.849,1872.472,1871.838,1872.292,0.0
2023-08-23 19:10:00,1872.245,1872.245,1871.907,1871.907,0.0
2023-08-23 19:15:00,1871.891,1871.991,1871.778,1871.858,0.0
2023-08-23 19:20:00,1871.853,1871.853,1871.168,1871.296,0.0
2023-08-23 19:25:00,1871.284,1871.745,1871.281,1871.745,0.0
2023-08-23 19:30:00,1871.79,1871.869,1871.368,1871.368,0.0
2023-08-23 19:35:00,1871.366,1871.982,1871.191,1871.862,0.0
2023-08-23 19:40:00,1871.858,1872.225,1871.818,1872.079,0.0
2023-08-23 19:45:00,1872.079,1872.079,1871.664,1871.664,0.0
2023-08-23 19:50:00,1871.636,1871.636,1869.354,1869.355,0.0
2023-08-23 19:55:00,1869.317,1869.964,1868.506,1869.959,0.0
2023-08-24 13:30:00,1868.325,1868.325,1864.157,1864.157,0.0
2023-08-24 13:35:00,1864.047,1864.32,1862.778,1862.875,0.0
2023-08-24 13:40:00,1862.881,1862.881,1860.209,1860.209,0.0
2023-08-24 13:45:00,1860.186,1862.772,1859.545,1862.697,0.0
2023-08-24 13:50:00,1862.735,1865.992,1862.507,1865.992,0.0
2023-08-24 13:55:00,1866.165,1870.446,1866.165,1870.446,0.0
2023-08-24 14:00:00,1870.471,1871.858,1870.471,1871.089,0.0
2023-08-24 14:05:00,1871.104,1871.625,1868.751,1868.751,0.0
2023-08-24 14:10:00,1868.765,1868.765,1867.118,1867.349,0.0
2023-08-24 14:15:00,1867.347,1867.561,1866.627,1866.711,0.0
2023-08-24 14:20:00,1866.744,1867.312,1866.035,1866.035,0.0
2023-08-24 14:25:00,1865.914,1865.914,1864.998,1864.998,0.0
2023-08-24 14:30:00,1864.947,1864.947,1863.485,1863.76,0.0
2023-08-24 14:35:00,1863.773,1866.276,1863.691,1866.276,0.0
2023-08-24 14:40:00,1866.274,1866.742,1864.569,1864.59,0.0
2023-08-24 14:45:00,1864.577,1864.592,1863.766,1863.782,0.0
2023-08-24 14:50:00,1863.751,1863.751,1863.365,1863.75,0.0
2023-08-24 14:55:00,1863.757,1864.449,1862.638,1862.643,0.0
2023-08-24 15:00:00,1862.613,1862.613,1859.815,1859.815,0.0
2023-08-24 15:05:00,1859.783,1859.783,1857.512,1857.691,0.0
2023-08-24 15:10:00,1857.689,1857.751,1856.746,1856.93,0.0
2023-08-24 15:15:00,1856.867,1856.867,1856.492,1856.678,0.0
2023-08-24 15:20:00,1856.699,1856.885,1856.18,1856.198,0.0
2023-08-24 15:25:00,1856.193,1856.193,1855.614,1855.878,0.0
2023-08-24 15:30:00,1855.973,1855.973,1855.059,1855.081,0.0
2023-08-24 15:35:00,1855.07,1855.07,1853.167,1853.167,0.0
2023-08-24 15:40:00,1853.166,1853.211,1852.911,1852.949,0.0
2023-08-24 15:45:00,1852.955,1852.955,1851.986,1852.175,0.0
2023-08-24 15:50:00,1852.193,1852.329,1851.999,1852.031,0.0
2023-08-24 15:55:00,1852.054,1852.265,1851.694,1851.694,0.0
2023-08-24 16:00:00,1851.683,1852.255,1851.668,1851.721,0.0
2023-08-24 16:05:00,1851.703,1853.149,1851.703,1853.111,0.0
2023-08-24 16:10:00,1853.123,1854.165,1853.086,1854.165,0.0
2023-08-24 16:15:00,1854.172,1855.424,1854.172,1855.219,0.0
2023-08-24 16:20:00,1855.217,1855.882,1855.217,1855.86,0.0
2023-08-24 16:25:00,1855.86,1856.022,1855.465,1855.472,0.0
2023-08-24 16:30:00,1855.445,1855.501,1855.192,1855.315,0.0
2023-08-24 16:35:00,1855.328,1855.642,1855.292,1855.523,0.0
2023-08-24 16:40:00,1855.543,1857.219,1855.543,1857.202,0.0
2023-08-24 16:45:00,1857.2,1857.224,1856.821,1856.995,0.0
2023-08-24 16:50:00,1856.978,1857.165,1855.988,1855.988,0.0
2023-08-24 16:55:00,1855.979,1855.979,1854.518,1854.703,0.0
2023-08-24 17:00:00,1854.685,1854.755,1853.443,1853.446,0.0
2023-08-24 17:05:00,1853.436,1853.436,1852.887,1853.345,0.0
2023-08-24 17:10:00,1853.351,1853.669,1853.212,1853.214,0.0
2023-08-24 17:15:00,1853.232,1853.232,1852.317,1852.318,0.0
2023-08-24 17:20:00,1852.313,1852.313,1852.044,1852.049,0.0
2023-08-24 17:25:00,1852.062,1852.062,1850.441,1850.47,0.0
2023-08-24 17:30:00,1850.456,1851.154,1850.333,1850.962,0.0
2023-08-24 17:35:00,1850.931,1851.124,1850.882,1851.124,0.0
2023-08-24 17:40:00,1851.148,1851.597,1851.148,1851.184,0.0
2023-08-24 17:45:00,1851.174,1851.625,1851.156,1851.498,0.0
2023-08-24 17:50:00,1851.491,1851.491,1850.882,1850.9,0.0
2023-08-24 17:55:00,1850.888,1850.971,1850.487,1850.77,0.0
2023-08-24 18:00:00,1850.818,1852.149,1850.818,1852.089,0.0
2023-08-24 18:05:00,1852.047,1852.047,1851.599,1851.767,0.0
2023-08-24 18:10:00,1851.767,1852.077,1851.593,1852.041,0.0
2023-08-24 18:15:00,1852.034,1852.036,1850.612,1850.629,0.0
2023-08-24 18:20:00,1850.62,1851.358,1850.551,1851.358,0.0
2023-08-24 18:25:00,1851.371,1851.371,1850.776,1851.04,0.0
2023-08-24 18:30:00,1851.058,1851.71,1851.058,1851.705,0.0
2023-08-24 18:35:00,1851.707,1851.744,1850.459,1850.459,0.0
2023-08-24 18:40:00,1850.458,1850.458,1849.639,1849.639,0.0
2023-08-24 18:45:00,1849.63,1850.548,1849.63,1850.258,0.0
2023-08-24 18:50:00,1850.265,1850.434,1850.242,1850.295,0.0
2023-08-24 18:55:00,1850.297,1851.438,1850.175,1851.423,0.0
2023-08-24 19:00:00,1851.412,1851.804,1851.403,1851.644,0.0
2023-08-24 19:05:00,1851.609,1851.863,1851.314,1851.314,0.0
2023-08-24 19:10:00,1851.297,1852.024,1851.113,1852.024,0.0
2023-08-24 19:15:00,1852.035,1852.284,1852.035,1852.215,0.0
2023-08-24 19:20:00,1852.214,1853.034,1851.907,1851.915,0.0
2023-08-24 19:25:00,1851.902,1851.902,1851.274,1851.656,0.0
2023-08-24 19:30:00,1851.648,1852.499,1851.648,1852.11,0.0
2023-08-24 19:35:00,1852.132,1852.132,1850.775,1850.775,0.0
2023-08-24 19:40:00,1850.729,1850.729,1849.344,1849.349,0.0
2023-08-24 19:45:00,1849.337,1849.337,1847.29,1847.716,0.0
2023-08-24 19:50:00,1847.753,1848.771,1847.425,1847.425,0.0
2023-08-24 19:55:00,1847.385,1848.381,1845.982,1846.494,0.0
2023-08-25 13:30:00,1850.606,1856.291,1850.606,1856.08,0.0
2023-08-25 13:35:00,1856.017,1857.329,1855.805,1856.405,0.0
2023-08-25 13:40:00,1856.405,1856.485,1854.668,1854.668,0.0
2023-08-25 13:45:00,1854.662,1854.976,1854.054,1854.358,0.0
2023-08-25 13:50:00,1854.389,1854.453,1852.825,1852.825,0.0
2023-08-25 13:55:00,1852.78,1852.78,1850.629,1850.777,0.0
2023-08-25 14:00:00,1850.796,1852.115,1850.129,1851.689,0.0
2023-08-25 14:05:00,1851.664,1851.664,1845.464,1845.465,0.0
2023-08-25 14:10:00,1845.441,1850.439,1845.441,1850.439,0.0
2023-08-25 14:15:00,1850.469,1856.441,1850.469,1852.457,0.0
2023-08-25 14:20:00,1852.393,1852.439,1848.545,1848.545,0.0
2023-08-25 14:25:00,1848.45,1848.45,1845.465,1845.876,0.0
2023-08-25 14:30:00,1845.824,1845.927,1844.888,1845.564,0.0
2023-08-25 14:35:00,1845.571,1846.059,1843.798,1844.186,0.0
2023-08-25 14:40:00,1844.11,1844.324,1839.889,1839.889,0.0
2023-08-25 14:45:00,1839.854,1839.854,1837.121,1837.209,0.0
2023-08-25 14:50:00,1837.221,1837.543,1836.12,1836.12,0.0
2023-08-25 14:55:00,1836.068,1836.068,1834.18,1834.18,0.0
2023-08-25 15:00:00,1833.597,1833.597,1832.133,1832.21,0.0
2023-08-25 15:05:00,1832.202,1835.598,1832.137,1835.598,0.0
2023-08-25 15:10:00,1835.581,1836.679,1835.442,1835.522,0.0
2023-08-25 15:15:00,1835.558,1835.661,1833.98,1834.5,0.0
2023-08-25 15:20:00,1834.529,1835.597,1834.529,1835.597,0.0
2023-08-25 15:25:00,1835.64,1841.337,1835.64,1841.337,0.0
2023-08-25 15:30:00,1841.387,1841.412,1840.187,1840.731,0.0
2023-08-25 15:35:00,1840.759,1845.113,1840.759,1845.113,0.0
2023-08-25 15:40:00,1845.093,1845.11,1843.762,1844.048,0.0
2023-08-25 15:45:00,1844.079,1844.155,1843.434,1843.79,0.0
2023-08-25 15:50:00,1843.84,1844.092,1843.248,1843.742,0.0
2023-08-25 15:55:00,1843.734,1843.734,1841.076,1841.289,0.0
2023-08-25 16:00:00,1841.306,1843.103,1841.257,1843.103,0.0
2023-08-25 16:05:00,1843.103,1843.386,1842.83,1843.126,0.0
2023-08-25 16:10:00,1843.107,1843.603,1842.864,1843.58,0.0
2023-08-25 16:15:00,1843.586,1843.943,1843.235,1843.635,0.0
2023-08-25 16:20:00,1843.667,1846.496,1843.629,1846.496,0.0
2023-08-25 16:25:00,1846.517,1848.276,1846.517,1848.276,0.0
2023-08-25 16:30:00,1848.308,1849.28,1848.308,1848.962,0.0
2023-08-25 16:35:00,1848.952,1850.016,1848.943,1850.016,0.0
2023-08-25 16:40:00,1850.013,1850.498,1849.957,1850.099,0.0
2023-08-25 16:45:00,1850.098,1850.293,1849.676,1850.173,0.0
2023-08-25 16:50:00,1850.175,1850.232,1848.573,1848.573,0.0
2023-08-25 16:55:00,1848.565,1849.702,1848.425,1849.702,0.0
2023-08-25 17:00:00,1849.709,1850.961,1849.709,1850.961,0.0
2023-08-25 17:05:00,1850.9,1850.9,1850.318,1850.453,0.0
2023-08-25 17:10:00,1850.381,1850.453,1849.462,1850.453,0.0
2023-08-25 17:15:00,1850.486,1851.148,1849.427,1849.427,0.0
2023-08-25 17:20:00,1849.448,1849.47,1847.938,1847.938,0.0
2023-08-25 17:25:00,1847.93,1847.93,1846.875,1847.337,0.0
2023-08-25 17:30:00,1847.345,1847.382,1846.631,1846.796,0.0
2023-08-25 17:35:00,1846.786,1846.935,1846.662,1846.672,0.0
2023-08-25 17:40:00,1846.645,1847.43,1846.541,1847.43,0.0
2023-08-25 17:45:00,1847.45,1847.452,1846.438,1846.803,0.0
2023-08-25 17:50:00,1846.807,1848.547,1846.807,1848.547,0.0
2023-08-25 17:55:00,1848.613,1849.435,1848.613,1849.435,0.0
2023-08-25 18:00:00,1849.52,1850.327,1849.52,1850.327,0.0
2023-08-25 18:05:00,1850.337,1851.796,1850.337,1851.796,0.0
2023-08-25 18:10:00,1851.796,1854.094,1851.656,1854.094,0.0
2023-08-25 18:15:00,1854.109,1854.952,1853.774,1854.952,0.0
